Plot ID,Sp no,Plot ID_Sp no,total.leaf.area
KT35,S3(1),KT35_S3(1),222.586
KT35,S3(2),KT35_S3(2),209.002
KT36,S1,KT36_S1,156.452
KT36,S2,KT36_S2,234.395
KT37,S1,KT37_S1,49.473
KT37,S2,KT37_S2,213.736
KT37,S3,KT37_S3,460.26
VG1,S1(1),VG1_S1(1),92.909
VG1,S1(2),VG1_S1(2),237.969
VG1,S2,VG1_S2,133.868
VG1,S3,VG1_S3,65.828
VG5,S1,VG5_S1,62.523
VG5,S2,VG5_S2,32.21
VG5,S3,VG5_S3,148.352
VG5,S5,VG5_S5,132.543
VG5,S6,VG5_S6,214.079
KT32,S1,KT32_S1,53.346
KT32,S2(1),KT32_S2(1),164.185
KT32,S2(2),KT32_S2(2),85.829
KDM23,S1,KDM23_S1,441.614
KDM23,S1(2),KDM23_S1(2),155.527
KDM23,S1(3),KDM23_S1(3),40.424
KDM23,S4,KDM23_S4,228.482
KDM23,S5,KDM23_S5,44.65
KDM23,S6,KDM23_S6,57.586
KDM22,S1,KDM22_S1,404.664
KDM22,S2,KDM22_S2,239.939
KDM22,S3,KDM22_S3,137.25
KDM22,S4,KDM22_S4,75.088
KDM21,S1,KDM21_S1,111.21
KDM21,S2,KDM21_S2,189.627
KDM21,S3,KDM21_S3,38.539
KDM29,S2,KDM29_S2,76.979
KDM36,S1(1),KDM36_S1(1),53.222
KDM36,S1(2),KDM36_S1(2),108.896
KDM36,S1(3),KDM36_S1(3),133.321
KDM36,S1(4),KDM36_S1(4),38.971
KDM36,S1(5),KDM36_S1(5),67.363
KDM36,S1(6),KDM36_S1(6),121.289
KDM36,S1(7),KDM36_S1(7),167.9
KDM36,S1(8),KDM36_S1(8),344.5
KDM36,S2,KDM36_S2,158.54
KDM36,S3,KDM36_S3,11.36
KDM36,S4,KDM36_S4,402.15
KDM36,S5(1),KDM36_S5(1),277.256
KDM36,S5(2),KDM36_S5(2),34.778
KDM36,S6,KDM36_S6,230.904
KDM44,S1(1),KDM44_S1(1),95.522
KDM44,S1(2),KDM44_S1(2),39.211
KDM44,S1(3),KDM44_S1(3),23.391
KDM44,S1(4),KDM44_S1(4),25.752
KDM44,S2,KDM44_S2,87.919
KDM44,S3,KDM44_S3,94.305
KDM44,S4,KDM44_S4,248.363
KDM44,S5,KDM44_S5,160.744
KDM44,S6,KDM44_S6,160.961
KDM45,S1,KDM45_S1,41.701
KDM45,S2(1),KDM45_S2(1),196.891
KDM45,S2(2),KDM45_S2(2),183.379
KDM45,S3,KDM45_S3,63.973
KDM45,S4,KDM45_S4,111.941
KDM45,S5,KDM45_S5,137.025
KDM6,S1,KDM6_S1,9.612
KDM6,S2(1),KDM6_S2(1),178.006
KDM6,S2(2),KDM6_S2(2),7.883
KDM6,S3,KDM6_S3,20.575
KDM6,S3(2),KDM6_S3(2),92.661
KDM6,S4,KDM6_S4,25.413
KDM7,S1,KDM7_S1,122.454
KDM7,S1(2),KDM7_S1(2),65.818
KDM7,S1(3),KDM7_S1(3),95.539
KDM7,S1(4),KDM7_S1(4),91.443
KDM7,S2,KDM7_S2,101.977
KDM7,S2(2),KDM7_S2(2),72.286
KDM8,S1,KDM8_S1,44.92
KDM8,S1(2),KDM8_S1(2),57.349
