12.90128,75.65968,KDM1,KDM,,,
12.90104,75.65974,KDM2,KDM,,,
12.90094,75.6597,KDM3,KDM,,,
12.90084,75.65905,KDM4,KDM,,,
12.90094,75.65923,KDM5,KDM,,,
12.90114,75.65938,KDM6,KDM,,,
12.90115,75.65929,KDM7,KDM,,,
12.90098,75.65918,KDM8,KDM,,,
12.90083,75.65905,KDM9,KDM,,,
12.90101,75.65896,KDM10,KDM,,,
12.90114,75.65919,KDM11,KDM,,,
12.90127,75.65914,KDM12,KDM,,,
12.90125,75.65898,KDM13,KDM,,,
12.90114,75.65881,KDM14,KDM,,,
12.90126,75.659,KDM15,KDM,,,
12.90137,75.65906,KDM16,KDM,,,
NA,NA,KDM17,KDM,,,
12.90157,75.65911,KDM18,KDM,,,
12.90144,75.65897,KDM19,KDM,,,
12.90142,75.65878,KDM20,KDM,,,
12.9015,75.65862,KDM21,KDM,,,
12.90155,75.65875,KDM22,KDM,,,
12.90159,75.65903,KDM23,KDM,,,
12.90176,75.65904,KDM24,KDM,,,
12.90192,75.65897,KDM25,KDM,,,
12.90208,75.65916,KDM26,KDM,,,
12.90175,75.65881,KDM27,KDM,,,
12.90187,75.65881,KDM28,KDM,,,
12.90204,75.65887,KDM29,KDM,,,
12.90194,75.65867,KDM30,KDM,,,
12.90207,75.65866,KDM31,KDM,,,
12.90234,75.65876,KDM32,KDM,,,
12.90196,75.65843,KDM33,KDM,,,
12.90222,75.65851,KDM34,KDM,,,
12.90245,75.65854,KDM35,KDM,,,
12.90239,75.65833,KDM37,KDM,,,
12.90254,75.65848,KDM36,KDM,,,
12.90227,75.65836,KDM38,KDM,,,
12.90215,75.65803,KDM39,KDM,,,
12.90208,75.65774,KDM40,KDM,,,
12.90195,75.65773,KDM41,KDM,,,
12.90216,75.65756,KDM42,KDM,,,
12.90236,75.65742,KDM43,KDM,,,
12.90259,75.65744,KDM44,KDM,,,
12.90244,75.65785,KDM45,KDM,,,
NA,NA,DG1,DG,,,
NA,NA,DG2,DG,,,
NA,NA,DG3,DG,,,
NA,NA,DG4,DG,,,
NA,NA,DG5,DG,,,
NA,NA,DG6,DG,,,
NA,NA,DG7,DG,,,
NA,NA,DG8,DG,,,
NA,NA,DG9,DG,,,
12.92251,75.65446,DG10,DG,,,
12.92269,75.65477,DG11,DG,,,
12.92292,75.65501,DG12,DG,,,
12.92295,75.65425,DG13,DG,,,
12.92313,75.65445,DG14,DG,,,
12.92324,75.65407,DG15,DG,,,
12.92366,75.65369,DG16,DG,,,
12.92378,75.65385,DG17,DG,,,
12.92357,75.65434,DG18,DG,,,
12.92333,75.6547,DG19,DG,,,
12.92384,75.65455,DG20,DG,,,
12.92403,75.65406,DG21,DG,,,
12.92368,75.65492,DG22,DG,,,
12.92408,75.65499,DG23,DG,,,
12.91223,75.65623,KT1,KT,,,
12.91247,75.65628,KT2,KT,,,
12.91263,75.65645,KT3,KT,,,
12.91248,75.65646,KT4,KT,,,
12.91228,75.65633,KT5,KT,,,
12.91203,75.65637,KT6,KT,,,
12.91198,75.65654,KT7,KT,,,
12.9124,75.65659,KT8,KT,,,
12.91249,75.65682,KT9,KT,,,
12.91253,75.6571,KT10,KT,,,
12.91219,75.65683,KT11,KT,,,
12.91203,75.65687,KT12,KT,,,
12.91191,75.65719,KT13,KT,,,
12.91217,75.65728,KT14,KT,,,
12.91256,75.65724,KT15,KT,,,
12.91267,75.65747,KT16,KT,,,
12.91232,75.65749,KT17,KT,,,
12.91214,75.65752,KT18,KT,,,
12.91227,75.658,KT19,KT,,,
12.91254,75.65802,KT20,KT,,,
12.91274,75.65791,KT21,KT,,,
NA,NA,KT22,KT,,,
NA,NA,KT23,KT,,,
NA,NA,KT24,KT,,,
NA,NA,KT25,KT,,,
NA,NA,KT26,KT,,,
NA,NA,KT27,KT,,,
12.91142,75.65623,KT28,KT,,,
NA,NA,KT29,KT,,,
NA,NA,KT30,KT,,,
NA,NA,KT31,KT,,,
12.91112,75.65591,KT32,KT,,,
NA,NA,KT33,KT,,,
12.91286,75.65653,KT34,KT,,,
12.91301,75.6569,KT35,KT,,,
NA,NA,KT36,KT,,,
NA,NA,KT37,KT,,,
12.92939,75.65887,VG1,VG,,,
12.92956,75.65885,VG2,VG,,,
12.92984,75.65865,VG3,VG,,,
12.92949,75.65872,VG4,VG,,,
12.92967,75.65857,VG5,VG,,,
12.92989,75.65849,VG6,VG,,,
12.92997,75.65825,VG7,VG,,,
12.92978,75.65806,VG8,VG,,,
12.92958,75.65819,VG9,VG,,,
12.92925,75.65801,VG10,VG,,,
12.93109,75.65944,VG11,VG,,,
12.93117,75.65922,VG12,VG,,,
12.93123,75.65893,VG13,VG,,,
12.93079,75.65935,VG14,VG,,,
12.93095,75.65908,VG15,VG,,,
12.93078,75.65897,VG16,VG,,,
12.93053,75.65916,VG17,VG,,,
NA,NA,VG18,VG,,,
NA,NA,VG19,VG,,,
NA,NA,VG20,VG,,,
NA,NA,VG21,VG,,,
NA,NA,VG22,VG,,,
NA,NA,VG23,VG,,,
NA,NA,VG24,VG,,,
NA,NA,VG25,VG,,,
NA,NA,VG26,VG,,,
NA,NA,VG27,VG,,,
12.93099,75.65981,VG28,VG,,,
12.9313,75.66026,VG29,VG,,,
NA,NA,VG30,VG,,,
NA,NA,VG31,VG,,,
12.92821,75.66017,VG32,VG,,,
12.92859,75.66029,VG33,VG,,,
12.92893,75.66028,VG34,VG,,,
12.92895,75.6599,VG35,VG,,,
12.92854,75.65987,VG36,VG,,,
12.9283,75.65994,VG37,VG,,,
12.92839,75.65984,VG38,VG,,,
12.92854,75.65951,VG39,VG,,,
12.92873,75.65964,VG40,VG,,,
12.92873,75.65928,VG41,VG,,,
12.92851,75.65941,VG42,VG,,,
12.92855,75.65941,VG43,VG,,,
NA,NA,EXTRA1,EXTRA,,,
NA,NA,EXTRA1,EXTRA,,,
